player_name,years_played,lat,lon,country,goals_scored
George MOORHOUSE,1930 1934,41.401,-97.781,USA,0
Jacques MOESCHAL,1930,50.696,4.795,Belgium,0
Bert PATENAUDE,1930,41.401,-97.781,USA,4
Theodore NOUWENS,1930,50.696,4.795,Belgium,0
Ralph TRACY,1930,41.401,-97.781,USA,0
Fernand ADAMS,1930,50.696,4.795,Belgium,0
Alexander WOOD,1930,41.401,-97.781,USA,0
Louis VERSYP,1930 1934,50.696,4.795,Belgium,0
Andrew AULD,1930,41.401,-97.781,USA,0
Bernard VOORHOOF,1930 1934 1938,50.696,4.795,Belgium,2
Jim BROWN,1930,41.401,-97.781,USA,1
Pierre BRAINE,1930,50.696,4.795,Belgium,0
Frank VAUGHN,1930,41.401,-97.781,USA,0
Alexis CHANTRAINE,1930,50.696,4.795,Belgium,0
Mike BOOKIE,1930,41.401,-97.781,USA,0
Jean DE BIE,1930,50.696,4.795,Belgium,0
Jim GENTLE,1930,41.401,-97.781,USA,0
Andre SAEYS,1930,50.696,4.795,Belgium,0
Phil SLONE,1930,41.401,-97.781,USA,0
Henri DE DEKEN,1930,50.696,4.795,Belgium,0
Arnie OLIVER,1930,41.401,-97.781,USA,0
Gerard DELBEKE,1930,50.696,4.795,Belgium,0
Milovan JAKSIC,1930,0,0,Yugoslavia,0
JOEL,1930 1958,-11.135,-46.052,Brazil,0
Blagoje MARJANOVIC,1930,0,0,Yugoslavia,1
TEOPHILO,1930,-11.135,-46.052,Brazil,0
Dragan MIHAJLOVIC,1930,0,0,Yugoslavia,0
POLY,1930,-11.135,-46.052,Brazil,0
Milorad ARSENIJEVIC,1930,0,0,Yugoslavia,0
FAUSTO,1930,-11.135,-46.052,Brazil,0
Ivica BEK,1930,0,0,Yugoslavia,3
PREGUINHO,1930,-11.135,-46.052,Brazil,3
Momcilo DJOKIC,1930,0,0,Yugoslavia,0
NILO,1930,-11.135,-46.052,Brazil,0
Milutin IVKOVIC,1930,0,0,Yugoslavia,0
BRILHANTE,1930,-11.135,-46.052,Brazil,0
Djordje VUJADINOVIC,1930,0,0,Yugoslavia,2
ARAKEN,1930,-11.135,-46.052,Brazil,0
Aleksandar TIRNANIC,1930,0,0,Yugoslavia,1
HERMOGENES,1930,-11.135,-46.052,Brazil,0
Branislav SEKULIC,1930,0,0,Yugoslavia,0
ITALIA,1930,-11.135,-46.052,Brazil,0
Ljubisa STEFANOVIC,1930,0,0,Yugoslavia,0
FERNANDO GIUDICELLI,1930,-11.135,-46.052,Brazil,0
Dragan TOSIC,1930,0,0,Yugoslavia,0
CARVALHO LEITE,1930 1934,-11.135,-46.052,Brazil,0
Milan STOJANOVIC,1930,0,0,Yugoslavia,0
BENEDICTO,1930,-11.135,-46.052,Brazil,0
Teofilo SPASOJEVIC,1930,0,0,Yugoslavia,0
OSCARINO,1930,-11.135,-46.052,Brazil,0
Branislav HRNJICEK,1930,0,0,Yugoslavia,0
BENVENUTTO,1930,-11.135,-46.052,Brazil,0
Vlastimir PETKOVIC,1930,0,0,Yugoslavia,0
DOCA,1930,-11.135,-46.052,Brazil,0
Dragutin NAJDANOVIC,1930,0,0,Yugoslavia,0
PAMPLONA,1930,-11.135,-46.052,Brazil,0
FORTES,1930,-11.135,-46.052,Brazil,0
MANOELZINHO,1930,-11.135,-46.052,Brazil,0
IVAN MARIZ,1930,-11.135,-46.052,Brazil,0
MODERATO,1930,-11.135,-46.052,Brazil,2
VELLOSO,1930,-11.135,-46.052,Brazil,0
ZE LUIS,1930,-11.135,-46.052,Brazil,0
RUSSINHO,1930,-11.135,-46.052,Brazil,0
Ion LAPUSNEANU,1930,46.201,24.925,Romania,0
Juan VALDIVIESO,1930,-8.529,-76.034,Peru,0
Ladislau RAFFINSKY,1930 1938,46.201,24.925,Romania,0
Alejandro VILLANUEVA,1930,-8.529,-76.034,Peru,0
Rudolf BUERGER,1930 1938,46.201,24.925,Romania,0
Julio LORES,1930,-8.529,-76.034,Peru,0
Adalbert DESU,1930,46.201,24.925,Romania,1
Placido GALINDO,1930,-8.529,-76.034,Peru,0
Alfred EISENBEISSER,1930,46.201,24.925,Romania,0
Domingo GARCIA,1930,-8.529,-76.034,Peru,0
Nicolae KOVACS,1930 1934 1938,46.201,24.925,Romania,1
Jose Maria LAVALLE,1930,-8.529,-76.034,Peru,0
Constantin STANCIU,1930,46.201,24.925,Romania,1
Mario DE LAS CASAS,1930,-8.529,-76.034,Peru,0
Adalbert STEINER,1930,46.201,24.925,Romania,0
Alberto DENEGRI,1930,-8.529,-76.034,Peru,0
Emerich VOGL,1930 1934,46.201,24.925,Romania,0
Demetrio NEYRA,1930,-8.529,-76.034,Peru,0
Rudolf WETZER,1930,46.201,24.925,Romania,0
Alberto SORIA,1930,-8.529,-76.034,Peru,0
Stefan BARBU,1930,46.201,24.925,Romania,0
Luis SOUZA,1930,-8.529,-76.034,Peru,1
Iosif CZAKO,1930,46.201,24.925,Romania,0
Jorge PARDON,1930,-8.529,-76.034,Peru,0
Ilile SUBASEANU,1930,46.201,24.925,Romania,0
Jose FLORES,1930,-8.529,-76.034,Peru,0
Samuel ZAUBER,1930,46.201,24.925,Romania,0
Antonio MAQUILON,1930,-8.529,-76.034,Peru,0
Corneliu ROBE,1930,46.201,24.925,Romania,0
Lizardo NUE RODRIGUEZ,1930,-8.529,-76.034,Peru,0
Julio QUINTANA,1930,-8.529,-76.034,Peru,0
Arturo FERNANDEZ,1930,-8.529,-76.034,Peru,0
Pablo PACHECO,1930,-8.529,-76.034,Peru,0
Carlos CILLONIZ,1930,-8.529,-76.034,Peru,0
Jorge GONGORA,1930,-8.529,-76.034,Peru,0
Jorge SARMIENTO,1930,-8.529,-76.034,Peru,0
Juan Alfonso VALLE,1930,-8.529,-76.034,Peru,0
Eduardo ASTENGO,1930,-8.529,-76.034,Peru,0
Angel BOSSIO,1930,-33.241,-64.657,Argentina,0
Francisco VARALLO,1930,-33.241,-64.657,Argentina,1
Pedro SUAREZ,1930,-33.241,-64.657,Argentina,0
Jose DELLA TORRE,1930,-33.241,-64.657,Argentina,0
Juan EVARISTO,1930,-33.241,-64.657,Argentina,0
Mario EVARISTO,1930,-33.241,-64.657,Argentina,1
Manuel FERREIRA,1930,-33.241,-64.657,Argentina,0
Roberto CERRO,1930,-33.241,-64.657,Argentina,0
Ramon MUTTIS,1930,-33.241,-64.657,Argentina,0
Luis MONTI,1930 1934,-33.241,-64.657,Argentina,2
Natalio PERINETTI,1930,-33.241,-64.657,Argentina,0
Alejandro SCOPELLI,1930,-33.241,-64.657,Argentina,1
Carlos SPADARO,1930,-33.241,-64.657,Argentina,0
Carlos PEUCELLE,1930,-33.241,-64.657,Argentina,3
Rodolfo ORLANDINI,1930,-33.241,-64.657,Argentina,0
Fernando PATERNOSTER,1930,-33.241,-64.657,Argentina,0
Adolfo ZUMELZU,1930,-33.241,-64.657,Argentina,2
Guillermo STABILE,1930,-33.241,-64.657,Argentina,8
Edmundo PIAGGIO,1930,-33.241,-64.657,Argentina,0
Atilio DEMARIA,1930 1934,-33.241,-64.657,Argentina,0
Juan BOTASSO,1930,-33.241,-64.657,Argentina,0
Alberto CHIVIDINI,1930,-33.241,-64.657,Argentina,0
Roberto CORTES,1930,-25.591,-69.947,Chile,0
Victor MORALES,1930,-25.591,-69.947,Chile,0
Tomas OJEDA,1930,-25.591,-69.947,Chile,0
Ulises POIRIER,1930,-25.591,-69.947,Chile,0
Guillermo SAAVEDRA,1930,-25.591,-69.947,Chile,0
Carlos SCHNEBERGER,1930,-25.591,-69.947,Chile,0
Guillermo SUBIABRE,1930,-25.591,-69.947,Chile,2
Arturo TORRES,1930,-25.591,-69.947,Chile,0
Carlos VIDAL,1930,-25.591,-69.947,Chile,2
Eberardo VILLALOBOS,1930,-25.591,-69.947,Chile,0
Humberto ELGUETA,1930,-25.591,-69.947,Chile,0
Guillermo RIVEROS,1930,-25.591,-69.947,Chile,0
Arturo CODDOU,1930,-25.591,-69.947,Chile,0
Horacio MUNOZ,1930,-25.591,-69.947,Chile,0
Cesar ESPINOZA,1930,-25.591,-69.947,Chile,0
Casimiro TORRES,1930,-25.591,-69.947,Chile,0
Juan AGUILERA,1930,-25.591,-69.947,Chile,0
Guillermo ARELLANO,1930,-25.591,-69.947,Chile,0
Ernesto CHAPARRO,1930,-25.591,-69.947,Chile,0
Jesus BERMUDEZ,1930,-15.976,-63.733,Bolivia,0
Jose BUSTAMANTE,1930,-15.976,-63.733,Bolivia,0
Casiano CHAVARRIA,1930,-15.976,-63.733,Bolivia,0
Segundo DURANDAL,1930,-15.976,-63.733,Bolivia,0
Rene FERNANDEZ,1930,-15.976,-63.733,Bolivia,0
Gumercindo GOMEZ,1930,-15.976,-63.733,Bolivia,0
Diogenes LARA,1930,-15.976,-63.733,Bolivia,0
Rafael MENDEZ,1930,-15.976,-63.733,Bolivia,0
Jorge BALDERRAMA,1930,-15.976,-63.733,Bolivia,0
Mario ALBORTA,1930,-15.976,-63.733,Bolivia,0
Jorge ARGOTE,1930,-15.976,-63.733,Bolivia,0
Miguel BRITO,1930,-15.976,-63.733,Bolivia,0
Jose NOYA,1930,-15.976,-63.733,Bolivia,0
Miguel MURILLO,1930,-15.976,-63.733,Bolivia,0
Luis REYES PENARANDA,1930,-15.976,-63.733,Bolivia,0
Eduardo REYES ORTIZ,1930,-15.976,-63.733,Bolivia,0
Renato SAINZ,1930,-15.976,-63.733,Bolivia,0
Modesto DENIS,1930,-22.329,-59.099,Paraguay,0
Eusebio DIAZ,1930,-22.329,-59.099,Paraguay,0
Diogenes DOMINGUEZ,1930,-22.329,-59.099,Paraguay,0
Romildo ETCHEVERRY,1930,-22.329,-59.099,Paraguay,0
Delfin BENITEZ CACERES,1930,-22.329,-59.099,Paraguay,0
Aurelio GONZALEZ,1930,-22.329,-59.099,Paraguay,0
Jose Leon MIRACCA,1930,-22.329,-59.099,Paraguay,0
Lino NESSI,1930,-22.329,-59.099,Paraguay,0
Quiterio OLMEDO,1930,-22.329,-59.099,Paraguay,0
Luis VARGAS PENA,1930,-22.329,-59.099,Paraguay,1
Francisco AGUIRRE,1930,-22.329,-59.099,Paraguay,0
Santiago BENITEZ,1930,-22.329,-59.099,Paraguay,0
Gerardo ROMERO,1930,-22.329,-59.099,Paraguay,0
Eustaquio CHAMORRO,1930,-22.329,-59.099,Paraguay,0
Diego FLORENTIN,1930,-22.329,-59.099,Paraguay,0
Bernabe RIVERA,1930,-22.329,-59.099,Paraguay,0
Jacinto VILLALBA,1930,-22.329,-59.099,Paraguay,0
Amadeo ORTEGA,1930,-22.329,-59.099,Paraguay,0
Cayetano CARRERAS SAGUEIR,1930,-22.329,-59.099,Paraguay,0
Pedro BENITEZ,1930,-22.329,-59.099,Paraguay,0
Salvador FLORES,1930,-22.329,-59.099,Paraguay,0
Tranquilino GARCETE,1930,-22.329,-59.099,Paraguay,0
Enrique BALLESTRERO,1930,-32.402,-56.043,Uruguay,0
Hector CASTRO,1930,-32.402,-56.043,Uruguay,2
Pedro CEA,1930,-32.402,-56.043,Uruguay,5
Lorenzo FERNANDEZ,1930,-32.402,-56.043,Uruguay,0
Alvaro GESTIDO,1930,-32.402,-56.043,Uruguay,0
Victoriano IRIARTE,1930,-32.402,-56.043,Uruguay,2
Jose ANDRADE,1930,-32.402,-56.043,Uruguay,0
Pedro PETRONE,1930,-32.402,-56.043,Uruguay,0
Domingo TEJERA,1930,-32.402,-56.043,Uruguay,0
Santos URDINARAN,1930,-32.402,-56.043,Uruguay,0
Jose NASAZZI,1930,-32.402,-56.043,Uruguay,0
Juan Carlos CALVO,1930,-32.402,-56.043,Uruguay,0
Miguel CAPPUCCINI,1930,-32.402,-56.043,Uruguay,0
Conduelo PIRIZ,1930,-32.402,-56.043,Uruguay,0
Angel MELOGNO,1930,-32.402,-56.043,Uruguay,0
Emilio RECOBA,1930,-32.402,-56.043,Uruguay,0
Carlos RIOLFO,1930,-32.402,-56.043,Uruguay,0
Zoilo SALDOMBIDE,1930,-32.402,-56.043,Uruguay,0
Hector SCARONE,1930,-32.402,-56.043,Uruguay,1
Juan ANSELMO,1930,-32.402,-56.043,Uruguay,3
Ernesto MASCHERONI,1930,-32.402,-56.043,Uruguay,0
Pablo DORADO,1930,-32.402,-56.043,Uruguay,2
Peter PLATZER,1934,47.641,14.89,Austria,0
Josef SMISTIK,1934,47.641,14.89,Austria,0
Fritz KELLER,1934,47.752,2.358,France,0
Toni SCHALL,1934,47.641,14.89,Austria,1
Noel LIETAER,1934,47.752,2.358,France,0
Karl SESTA,1934,47.641,14.89,Austria,1
Jacques MAIRESSE,1934,47.752,2.358,France,0
Matthias SINDELAR,1934,47.641,14.89,Austria,1
Franz CISAR,1934,47.641,14.89,Austria,0
Jean NICOLAS,1934 1938,47.752,2.358,France,3
Hans URBANEK,1934,47.641,14.89,Austria,0
Roger RIO,1934,47.752,2.358,France,0
Rudi VIERTL,1934,47.641,14.89,Austria,0
Joseph ALCAZAR,1934,47.752,2.358,France,0
Franz WAGNER,1934 1938,47.641,14.89,Austria,0
Alfred ASTON,1934 1938,47.752,2.358,France,0
Karl ZISCHEK,1934,47.641,14.89,Austria,1
Josef BICAN,1934,47.641,14.89,Austria,1
Georges VERRIEST,1934,47.752,2.358,France,5
Friederich FRANZL,1934,47.641,14.89,Austria,0
Joseph GONZALEZ,1934,47.752,2.358,France,0
Willi SCHMAUS,1934,47.641,14.89,Austria,0
Louis GABRILLARGUES,1934,47.752,2.358,France,0
Anton JANDA,1934,47.641,14.89,Austria,0
Georges BEAUCOURT,1934,47.752,2.358,France,0
Mathias KABUREK,1934,47.641,14.89,Austria,0
Roger COURTOIS,1934 1938,47.752,2.358,France,0
Josef HASSMANN,1934,47.641,14.89,Austria,0
Robert DEFOSSE,1934,47.752,2.358,France,0
Johann WALZHOFER,1934,47.641,14.89,Austria,0
Pierre KORB,1934,47.752,2.358,France,0
Leopold HOFMANN,1934,47.641,14.89,Austria,0
Rene LLENSE,1934 1938,47.752,2.358,France,0
Johann HORVATH,1934,47.641,14.89,Austria,2
Jules VANDOOREN,1934 1938,47.752,2.358,France,0
Rudolf RAFTL,1934 1938,47.641,14.89,Austria,0
Georg BRAUN,1934,47.641,14.89,Austria,0
Josef STROH,1934 1938,47.641,14.89,Austria,0
Antal SZABO,1934 1938,47.373,19.651,Hungary,0
Kamel MASOUD,1934,27.876,29.783,Egypt,0
Gabor SZABO,1934,47.373,19.651,Hungary,0
Ali Mohammed EL KAF,1934,27.876,29.783,Egypt,0
Imre MARKOS,1934,47.373,19.651,Hungary,0
Mahmoud MOUKHTAR,1934,27.876,29.783,Egypt,0
Istvan PALOTAS,1934,47.373,19.651,Hungary,0
Mohamed Hassan HELMI,1934,27.876,29.783,Egypt,0
Laszlo STERNBERG,1934,47.373,19.651,Hungary,0
Abdel SHARLI,1934,27.876,29.783,Egypt,0
Gyula FUTO,1934,47.373,19.651,Hungary,0
Mostafa KAMEL TAHA,1934,27.876,29.783,Egypt,0
Gyula LAZAR,1934 1938,47.373,19.651,Hungary,0
Hassan EL FAR,1934,27.876,29.783,Egypt,0
Gyorgy SZUCS,1934 1938,47.373,19.651,Hungary,0
Abdel Rahman FAWZI,1934,27.876,29.783,Egypt,2
Pal TELEKI,1934,47.373,19.651,Hungary,1
Mohamed LATIF,1934,27.876,29.783,Egypt,0
Geza TOLDI,1934 1938,47.373,19.651,Hungary,3
Ismail RAFA AT,1934,27.876,29.783,Egypt,0
Jeno VINCZE,1934 1938,47.373,19.651,Hungary,1
Hassan RAGHAB,1934,27.876,29.783,Egypt,0
Janos DUDAS,1934 1938,47.373,19.651,Hungary,0
Aziz FAHMY,1934,27.876,29.783,Egypt,0
Sandor BIRO,1934 1938,47.373,19.651,Hungary,0
Mostafa MANSOUR,1934,27.876,29.783,Egypt,0
Jozsef VAGO,1934,47.373,19.651,Hungary,0
Hafez KASSEB,1934,27.876,29.783,Egypt,0
Istvan TAMASSY,1934,47.373,19.651,Hungary,0
Mahmoud NEGRO,1934,27.876,29.783,Egypt,0
Gyula POLGAR,1934 1938,47.373,19.651,Hungary,0
Ibrahim HALIM,1934,27.876,29.783,Egypt,0
Rezso SOMLAI,1934,47.373,19.651,Hungary,0
Hany KAMEL,1934,27.876,29.783,Egypt,0
Jozsef HADA,1934 1938,47.373,19.651,Hungary,0
Tibor KEMENY,1934,47.373,19.651,Hungary,0
Gyorgy SAROSI,1934 1938,47.373,19.651,Hungary,9
Istvan AVAR,1934,47.373,19.651,Hungary,0
Antal SZALAY,1934 1938,47.373,19.651,Hungary,0
Frank SECHEHAYE,1934,46.945,8.603,Switzerland,0
Gejus VAN DER MEULEN,1934,52.039,5.539,Netherlands,0
Willy VON KAENEL,1934,46.945,8.603,Switzerland,0
Henk PELLIKAAN,1934,52.039,5.539,Netherlands,0
Walter WEILER,1934,46.945,8.603,Switzerland,0
Kick SMIT,1934 1938,52.039,5.539,Netherlands,1
Severino MINELLI,1934 1938,46.945,8.603,Switzerland,0
Puck VAN HEEL,1934 1938,52.039,5.539,Netherlands,0
Giuseppe BOSSI,1934,46.945,8.603,Switzerland,0
Willem ANDERIESEN,1934 1938,52.039,5.539,Netherlands,0
Albert GUINCHARD,1934 1938,46.945,8.603,Switzerland,0
Beb BAKHUYS,1934,52.039,5.539,Netherlands,0
Ernst HUFSCHMID,1934,46.945,8.603,Switzerland,0
Joop VAN NELLEN,1934,52.039,5.539,Netherlands,0
Fernand JACCARD,1934,46.945,8.603,Switzerland,0
Sjef VAN RUN,1934,52.039,5.539,Netherlands,0
Leopold KIELHOLZ,1934 1938,46.945,8.603,Switzerland,3
Leen VENTE,1934 1938,52.039,5.539,Netherlands,1
Raymond PASELLO,1934,46.945,8.603,Switzerland,0
Mauk WEBER,1934 1938,52.039,5.539,Netherlands,0
Andre ABEGGLEN,1934 1938,46.945,8.603,Switzerland,4
Frank WELS,1934 1938,52.039,5.539,Netherlands,0
Alfred JAECK,1934,46.945,8.603,Switzerland,0
Alex GRAAFLAND,1934,52.039,5.539,Netherlands,0
Willy JAEGGI,1934,46.945,8.603,Switzerland,1
Wim LANGENDAAL,1934,52.039,5.539,Netherlands,0
Erwin HOCHSTRASSER,1934,46.945,8.603,Switzerland,0
Jaap MOL,1934,52.039,5.539,Netherlands,0
Willy HUBER,1934 1938,46.945,8.603,Switzerland,0
Kees MIJNDERS,1934,52.039,5.539,Netherlands,0
Edmond LOICHOT,1934,46.945,8.603,Switzerland,0
Jan VAN DIEPENBEEK,1934,52.039,5.539,Netherlands,0
Renato BIZZOZERO,1934 1938,46.945,8.603,Switzerland,0
Leo HALLE,1934,52.039,5.539,Netherlands,0
Max WEILER,1934,46.945,8.603,Switzerland,0
Toon OPRINSEN,1934,52.039,5.539,Netherlands,0
Arnaldo ORTELLI,1934,46.945,8.603,Switzerland,0
Arie SCHOEMAKER,1934,52.039,5.539,Netherlands,0
Ernst FRICK,1934,46.945,8.603,Switzerland,0
Manus VRAUWDEUNT,1934,52.039,5.539,Netherlands,0
Albert BUCHE,1934,46.945,8.603,Switzerland,0
Bas PAAUWE,1934 1938,52.039,5.539,Netherlands,0
Louis GOBET,1934,46.945,8.603,Switzerland,0
Adriaan VAN MALE,1934 1938,52.039,5.539,Netherlands,0
Otto BUEHLER,1934,46.945,8.603,Switzerland,0
Anders RYDBERG,1934,63.436,16.409,Sweden,0
Hector FRESCHI,1934,-33.241,-64.657,Argentina,0
Sven ANDERSSON,1934 1990,63.436,16.409,Sweden,0
Alberto GALATEO,1934,-33.241,-64.657,Argentina,1
Nils ROSEN,1934,63.436,16.409,Sweden,0
Roberto IRANETA,1934,-33.241,-64.657,Argentina,0
Nils AXELSSON,1934,63.436,16.409,Sweden,0
Arcadio LOPEZ,1934,-33.241,-64.657,Argentina,0
Ernst ANDERSSON,1934,63.436,16.409,Sweden,0
Jose NEHIN,1934,-33.241,-64.657,Argentina,0
Rune CARLSSON,1934,63.436,16.409,Sweden,0
Juan PEDEVILLA,1934,-33.241,-64.657,Argentina,0
Gosta DUNKER,1934,63.436,16.409,Sweden,1
Francisco RUA,1934,-33.241,-64.657,Argentina,0
Ragnar GUSTAVSSON,1934,63.436,16.409,Sweden,0
Costantino URBIETA SOSA,1934,-33.241,-64.657,Argentina,0
Sven JONASSON,1934 1938,63.436,16.409,Sweden,3
Federico WILDE,1934,-33.241,-64.657,Argentina,0
Tore KELLER,1934 1938,63.436,16.409,Sweden,1
Ernesto BELIS,1934,-33.241,-64.657,Argentina,1
Knut KROON,1934,63.436,16.409,Sweden,1
Alfredo DE VINCENZI,1934,-33.241,-64.657,Argentina,0
Eivar WIDLUND,1934,63.436,16.409,Sweden,0
Angel GRIPPA,1934,-33.241,-64.657,Argentina,0
Arvid THOERN,1934,63.436,16.409,Sweden,0
Enrique CHIMENTO,1934,-33.241,-64.657,Argentina,0
Gunnar JANSSON,1934,63.436,16.409,Sweden,0
Ernesto ALBARRACIN,1934,-33.241,-64.657,Argentina,0
Erik GRANATH,1934,63.436,16.409,Sweden,0
Luca IZZETA,1934,-33.241,-64.657,Argentina,0
Karl JOHNSSON,1934,63.436,16.409,Sweden,0
Alfonso LORENZO,1934,-33.241,-64.657,Argentina,0
Gunnar OLSSON,1934,63.436,16.409,Sweden,0
Vincente PEREZ,1934,-33.241,-64.657,Argentina,0
Otto ANDERSSON,1934,63.436,16.409,Sweden,0
Ramon ASTUDILLO,1934,-33.241,-64.657,Argentina,0
Willibald KRESS,1934,51.438,10.558,Germany,0
Andre VAN DE WEYER,1934 1938,50.696,4.795,Belgium,0
Ernest LEHNER,1934 1938,51.438,10.558,Germany,2
Frans PEERAER,1934,50.696,4.795,Belgium,0
Hans SCHWARTZ,1934,51.438,10.558,Germany,0
Philibert SMELLINCKX,1934 1938,50.696,4.795,Belgium,0
Otto SIFFLING,1934 1938,51.438,10.558,Germany,1
Fritz SZEPAN,1934 1938,51.438,10.558,Germany,0
Felix WELKENHUYSEN,1934,50.696,4.795,Belgium,0
Paul ZIELINSKI,1934,51.438,10.558,Germany,0
Albert HEREMANS,1934,50.696,4.795,Belgium,0
Edmund CONEN,1934,51.438,10.558,Germany,4
Jean CAPELLE,1934 1938,50.696,4.795,Belgium,0
Sigmund HARINGER,1934,51.438,10.558,Germany,0
Jean CLAESSENS,1934,50.696,4.795,Belgium,0
Karl HOHMANN,1934,51.438,10.558,Germany,2
Francois DE VRIES,1934,50.696,4.795,Belgium,0
Paul JANES,1934 1938,51.438,10.558,Germany,0
Laurent GRIMMONPREZ,1934,50.696,4.795,Belgium,0
Stanislaus KOBIERSKI,1934,51.438,10.558,Germany,1
Costant JOACIM,1934,50.696,4.795,Belgium,0
Hans JAKOB,1934 1938,51.438,10.558,Germany,0
Rene LEDENT,1934,50.696,4.795,Belgium,0
Mathias HEIDEMANN,1934,51.438,10.558,Germany,0
Jules PAPPAERT,1934,50.696,4.795,Belgium,0
Rudolf GRAMLICH,1934,51.438,10.558,Germany,0
Ernst ALBRECHT,1934,51.438,10.558,Germany,0
Desire BOURGEOIS,1934,50.696,4.795,Belgium,0
Jakob BENDER,1934,51.438,10.558,Germany,0
Jean BRICHAUT,1934,50.696,4.795,Belgium,0
Fritz BUCHLOH,1934 1938,51.438,10.558,Germany,0
Willy BUSCH,1934,51.438,10.558,Germany,0
Charles SIMONS,1934,50.696,4.795,Belgium,0
Franz DIENERT,1934,51.438,10.558,Germany,0
Georges PUTMANS,1934,50.696,4.795,Belgium,0
Josef STREB,1934,51.438,10.558,Germany,0
Robert LAMOOT,1934,50.696,4.795,Belgium,0
Reinhold MUENZENBERG,1934 1938,51.438,10.558,Germany,0
Jos VAN INGELGEM,1934,50.696,4.795,Belgium,0
Rudolf NOACK,1934,51.438,10.558,Germany,1
Ricardo ZAMORA,1934,40.521,-2.813,Spain,0
PEDROSA,1934,-11.135,-46.052,Brazil,0
CILAURREN,1934,40.521,-2.813,Spain,0
TINOCO,1934,-11.135,-46.052,Brazil,0
CIRIACO,1934,40.521,-2.813,Spain,0
PATESKO,1934 1938,-11.135,-46.052,Brazil,0
I QUINCOCES,1934,40.521,-2.813,Spain,0
SYLVIO HOFFMANN,1934,-11.135,-46.052,Brazil,0
GOROSTIZA,1934,40.521,-2.813,Spain,0
MARTIM,1934 1938,-11.135,-46.052,Brazil,0
IRARAGORRI,1934,40.521,-2.813,Spain,10
ARMANDINHO,1934,-11.135,-46.052,Brazil,0
LAFUENTE,1934,40.521,-2.813,Spain,0
LEONIDAS,1934 1938,-11.135,-46.052,Brazil,8
Isidro LANGARA,1934,40.521,-2.813,Spain,1
LUISINHO,1934 1938,-11.135,-46.052,Brazil,0
Simon LECUE,1934,40.521,-2.813,Spain,0
LUIZ LUZ,1934,-11.135,-46.052,Brazil,0
MARCULETA,1934,40.521,-2.813,Spain,0
CANALLI,1934,-11.135,-46.052,Brazil,0
Jose MUGUERZA,1934,40.521,-2.813,Spain,0
WALDEMAR DE BRITTO,1934,-11.135,-46.052,Brazil,0
Juan NOGUES,1934,40.521,-2.813,Spain,0
LUIS REGUEIRO,1934,40.521,-2.813,Spain,1
ATTILA,1934,-11.135,-46.052,Brazil,0
Martin VENTOLRA,1934,40.521,-2.813,Spain,0
OCTACILIO,1934,-11.135,-46.052,Brazil,0
